"chr"	"start"	"end"	"width"	"strand"	"annotation"	"geneCh"	"geneStart"	"geneEnd"	"geneLen"	"geneStr"	"geneID"	"distanceToTSS"	"MACSqValue"	"SRX_ID"	"TF"	"cell_type"
"chr2"	1755782	1756126	345	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10930	512	"SRX7055005"	"RELA"	"HAEC"
"chr2"	1755786	1756153	368	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10934	328	"SRX7054667"	"RELA"	"HAEC"
"chr2"	1755801	1756141	341	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10949	692	"SRX7054614"	"RELA"	"HAEC"
"chr2"	1755820	1756138	319	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10968	313	"SRX7054610"	"RELA"	"HAEC"
"chr2"	1755837	1756125	289	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-10985	228	"SRX7054660"	"RELA"	"HAEC"
"chr2"	1769728	1770079	352	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-24876	1000	"SRX3040156"	"STAG1"	"Coronaryarteryendothelialcells"
"chr2"	1769754	1770146	393	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-24902	530	"SRX038602"	"CTCF"	"HUVEC"
"chr2"	1769774	1770226	453	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-24922	1000	"SRX080395"	"CTCF"	"HCFaa"
"chr2"	1769777	1770029	253	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-24925	804	"SRX3040157"	"STAG2"	"Coronaryarteryendothelialcells"
"chr2"	1769787	1770044	258	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-24935	1000	"SRX2559013"	"RAD21"	"HUVEC"
"chr2"	1769811	1770076	266	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-24959	766	"SRX080412"	"CTCF"	"HUVEC"
"chr2"	1769825	1770026	202	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-24973	1000	"SRX031246"	"CTCF"	"HUVEC"
"chr2"	1769876	1769988	113	"*"	"Distal Intergenic"	2	1631887	1744852	112966	2	7837	-25024	244	"SRX080399"	"CTCF"	"AoAF"
